Draw One (x1),Draw Two (x2),Draw Three (x3)
25,26,27
25,26,28
25,26,29
25,27,28
25,27,29
25,28,29
26,27,28
26,27,29
26,28,29
27,28,29
25,27,26
25,28,26
25,29,26
25,28,27
25,29,27
25,29,28
26,28,27
26,29,27
26,29,28
27,29,28
26,25,27
26,25,28
26,25,29
27,25,28
27,25,29
28,25,29
27,26,28
27,26,29
28,26,29
28,27,29
26,27,25
26,28,25
26,29,25
27,28,25
27,29,25
28,29,25
27,28,26
27,29,26
28,29,26
28,29,27
27,25,26
28,25,26
29,25,26
28,25,27
29,25,27
29,25,28
28,26,27
29,26,27
29,26,28
29,27,28
27,26,25
28,26,25
29,26,25
28,27,25
29,27,25
29,28,25
28,27,26
29,27,26
29,28,26
29,28,27